id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
92,Completed,Male,data worker,kids in home Yes,less 2,35-44yo,Employed full time,90-119k,full paid,3 5weeks,US,No wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Partially remote
93,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,not paid,no leave,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
94,Completed,Male,Manager,kids in home Yes,16 years more,35-44yo,Employed full time,120-159k,other materity leave,no leave,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
95,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
96,Completed,Female,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,30-59k,full paid,6 month plus,Europe,No wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
97,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
98,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,160-plus,full paid,17 weeks 6 months,US,Not sure longer leave,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles less,No unfairly treated,No changed companies,Partially remote
99,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,not paid,3 5weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,No changed companies,Fully in office
100,Completed,Male,data worker,kids in home No,2 5 years,25-34yo,Employed full time,less30k,other materity leave,no leave,Asia,Other leave,No declined promotion,never asked trip conference,Other voicing needs difficult,Yes network help,single,Other unfairly treated,Other changed companies,Fully in office
101,Completed,Male,pursing work,kids in home Yes,less 2,25-34yo,Employed full time,30-59k,not paid,9 12weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
102,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,less30k,not paid,no leave,other country,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,No changed companies,Fully in office
103,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,full paid,9 12weeks,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
104,Completed,Female,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,160-plus,full paid,13 16weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
105,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,30-59k,partially paid,9 12weeks,Europe,No wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
106,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,30-59k,full paid,6 month plus,Europe,No wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
107,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,60-89k,partially paid,9 12weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
108,Completed,Male,Manager,kids in home Yes,6 10 years,25-34yo,Employed full time,120-159k,not paid,no leave,US,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
109,Completed,Female,data worker,kids in home Yes,11 15 years,25-34yo,Self employed,160-plus,full paid,3 5weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,No unfairly treated,Yes changed companies,Fully in office
110,Completed,Male,not in field,kids in home Yes,16 years more,45-54yo,Employed full time,90-119k,other materity leave,no leave,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
