id,status,gender,current_role,kids_in_home,years_in_field,age,employment_type,salary,parental_leave_pay,parental_leave_length,country,wish_parental_leave_longer,ever_declined_promotion,ever_declined_travel,voicing_needs_difficult,have_support,equal_partnership,treated_unfairly_at_work,changed_company_balance,remote_work
171,Completed,Female,pursing work,kids in home Yes,not in the field,25-34yo,Employed full time,90-119k,partially paid,17 weeks 6 months,other country,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,Other changed companies,Fully in office
172,Completed,Male,Manager,kids in home Yes,2 5 years,35-44yo,Self employed,less30k,full paid,no leave,Asia,Yes wish longer,Yes declined promotion,never asked trip conference,Other voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
173,Completed,Female,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,60-89k,partially paid,13 16weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
174,Completed,Male,data worker,kids in home Yes,16 years more,35-44yo,Employed full time,30-59k,full paid,less 2weeks,Europe,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
175,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,less30k,full paid,13 16weeks,Asia,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,Fully in office
176,Completed,Female,data worker,kids in home Yes,16 years more,45-54yo,not employed not looking,less30k,partially paid,no leave,Asia,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully remote
178,Completed,non_binary,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,30-59k,full paid,9 12weeks,Asia,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
179,Completed,Female,data worker,kids in home Yes,less 2,25-34yo,Employed full time,less30k,full paid,6 8weeks,other country,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
180,Completed,Male,data worker,empty nester,16 years more,55-64yo,Self employed,wont-answer-salary,other materity leave,6 8weeks,Asia,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,client location
181,Completed,Male,data worker,kids in home Yes,6 10 years,45-54yo,Self employed,30-59k,partially paid,6 8weeks,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
182,Completed,Male,data worker,kids in home Yes,16 years more,35-44yo,Employed full time,wont-answer-salary,full paid,13 16weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,No changed companies,Fully in office
183,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,partially paid,17 weeks 6 months,US,No wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
184,Completed,Male,Manager,kids in home Yes,16 years more,45-54yo,Employed full time,wont-answer-salary,full paid,less 2weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Partially remote
185,Completed,Male,data worker,kids in home Yes,11 15 years,45-54yo,Employed full time,60-89k,partially paid,less 2weeks,US,Yes wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Fully remote
186,Completed,Male,pursing work,kids in home No,less 2,35-44yo,Employed full time,60-89k,other materity leave,less 2weeks,Asia,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,client location
187,Completed,Male,data worker,kids in home Yes,11 15 years,25-34yo,Self employed,160-plus,not paid,less 2weeks,Europe,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,client location
188,Completed,Female,pursing work,kids in home Yes,not in the field,25-34yo,Employed full time,less30k,full paid,17 weeks 6 months,Asia,No wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
189,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,full paid,6 8weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
190,Completed,Female,Manager,kids in home Yes,2 5 years,35-44yo,Employed full time,120-159k,full paid,9 12weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
191,Completed,Female,pursing work,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,not paid,13 16weeks,Europe,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
192,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,90-119k,partially paid,9 12weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,equal partnership,Yes unfairly treated,Yes changed companies,Partially remote
193,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,partially paid,6 8weeks,US,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
194,Completed,Female,data worker,kids in home Yes,11 15 years,25-34yo,not employed not looking,wont-answer-salary,partially paid,13 16weeks,Asia,Not sure longer leave,Other declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,Other changed companies,Other workplace arrangement
195,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,60-89k,full paid,less 2weeks,Europe,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
196,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,full paid,9 12weeks,US,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,Other changed companies,Fully in office
197,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,120-159k,not paid,17 weeks 6 months,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
198,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed part time,60-89k,partially paid,6 8weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
199,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,wont-answer-salary,full paid,17 weeks 6 months,other country,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
200,Completed,Female,pursing work,kids in home Yes,less 2,25-34yo,Student,wont-answer-salary,not paid,6 month plus,Asia,No wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,equal partnership,Other unfairly treated,Other changed companies,Partially remote
201,Completed,Male,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
202,Completed,Male,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,120-159k,partially paid,less 2weeks,US,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
203,Completed,Female,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,60-89k,not paid,17 weeks 6 months,US,No wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
204,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,60-89k,partially paid,6 8weeks,US,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,Yes changed companies,Fully in office
205,Completed,Male,data worker,kids in home No,2 5 years,45-54yo,Employed full time,less30k,not paid,no leave,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
206,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,60-89k,full paid,less 2weeks,other country,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
207,Completed,Female,Manager,kids in home Yes,16 years more,35-44yo,Employed full time,90-119k,partially paid,6 month plus,Europe,No wish longer,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Other changed companies,Partially remote
208,Completed,Male,data worker,kids in home Yes,16 years more,35-44yo,Employed full time,60-89k,full paid,3 5weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,equal partnership,No unfairly treated,No changed companies,Fully in office
209,Completed,Female,data worker,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,full paid,13 16weeks,Europe,Not sure longer leave,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
210,Completed,Female,Manager,kids in home Yes,16 years more,45-54yo,Employed full time,90-119k,full paid,6 8weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
211,Completed,Female,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,30-59k,full paid,13 16weeks,other country,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,client location
212,Completed,Female,data worker,kids in home Yes,less 2,25-34yo,Employed full time,90-119k,other materity leave,no leave,Asia,Other leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
213,Completed,Female,pursing work,kids in home Yes,2 5 years,25-34yo,Student,less30k,other materity leave,no leave,US,Other leave,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles less,No unfairly treated,Yes changed companies,Other workplace arrangement
214,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,60-89k,not paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,Yes changed companies,Fully in office
215,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,60-89k,not paid,9 12weeks,US,Yes wish longer,Other declined promotion,Other trip conference,Yes voicing needs difficult,No network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
216,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,30-59k,full paid,17 weeks 6 months,Europe,Yes wish longer,Yes declined promotion,Other trip conference,Other voicing needs difficult,No network help,equal partnership,Other unfairly treated,No changed companies,Partially remote
217,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,90-119k,full paid,17 weeks 6 months,Europe,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
218,Completed,Male,data worker,kids in home Yes,less 2,35-44yo,Employed full time,60-89k,partially paid,no leave,US,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,Partially remote
219,Completed,Male,pursing work,kids in home Yes,2 5 years,35-44yo,Employed full time,30-59k,partially paid,13 16weeks,other country,Yes wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Fully in office
220,Completed,Male,pursing work,kids in home Yes,16 years more,55-64yo,Employed full time,wont-answer-salary,other materity leave,6 8weeks,other country,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
221,Completed,Male,Manager,kids in home Yes,less 2,45-54yo,Employed full time,wont-answer-salary,full paid,less 2weeks,Europe,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
222,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,60-89k,partially paid,17 weeks 6 months,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
223,Completed,Male,not in field,kids in home Yes,not in the field,35-44yo,Employed full time,90-119k,full paid,9 12weeks,Europe,No wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
224,Completed,Male,data worker,empty nester,16 years more,55-64yo,Employed full time,120-159k,other materity leave,no leave,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully remote
225,Completed,Male,pursing work,kids in home No,not in the field,25-34yo,Employed full time,30-59k,other materity leave,no leave,other country,Other leave,Other declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
226,Completed,Male,Manager,kids in home Yes,2 5 years,25-34yo,not employed not looking,wont-answer-salary,not paid,less 2weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Other workplace arrangement
227,Completed,Male,not in field,kids in home Yes,not in the field,25-34yo,Employed full time,less30k,full paid,less 2weeks,other country,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
228,Completed,Male,data worker,kids in home No,2 5 years,25-34yo,Employed full time,60-89k,not paid,no leave,other country,Other leave,Other declined promotion,No declined trip or conference,Other voicing needs difficult,Other network help,single,Other unfairly treated,Other changed companies,Other workplace arrangement
229,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed full time,30-59k,other materity leave,6 month plus,other country,Other leave,Yes declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,Partially remote
230,Completed,Male,Manager,empty nester,2 5 years,45-54yo,Employed full time,90-119k,full paid,6 month plus,other country,Not sure longer leave,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
231,Completed,Female,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,90-119k,partially paid,9 12weeks,US,No wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Partially remote
232,Completed,Male,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,60-89k,partially paid,3 5weeks,other country,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
233,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,full paid,3 5weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
234,Completed,Male,data worker,kids in home Yes,less 2,25-34yo,Employed full time,90-119k,full paid,3 5weeks,US,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully remote
235,Completed,Female,not in field,kids in home Yes,not in the field,45-54yo,Employed full time,60-89k,full paid,3 5weeks,Europe,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
236,Completed,Male,data worker,kids in home Yes,16 years more,35-44yo,Self employed,120-159k,not paid,less 2weeks,other country,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,partner handles more,Yes unfairly treated,Yes changed companies,Fully remote
237,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,30-59k,full paid,less 2weeks,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
238,Completed,Male,data worker,kids in home Yes,2 5 years,45-54yo,Employed full time,60-89k,partially paid,6 8weeks,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
239,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,wont-answer-salary,not paid,less 2weeks,other country,Yes wish longer,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
240,Completed,Female,pursing work,kids in home Yes,not in the field,25-34yo,Employed part time,less30k,not paid,6 8weeks,US,Yes wish longer,Other declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,equal partnership,Other unfairly treated,Other changed companies,Fully remote
241,Completed,Female,pursing work,empty nester,not in the field,55-64yo,Employed full time,wont-answer-salary,full paid,6 8weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,No changed companies,Fully in office
242,Completed,Female,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,160-plus,full paid,13 16weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Other changed companies,Fully in office
243,Completed,Female,pursing work,kids in home Yes,not in the field,45-54yo,prefer not to answer jobtype,wont-answer-salary,other materity leave,6 month plus,other country,Other leave,Other declined promotion,never asked trip conference,Other voicing needs difficult,No network help,partner handles less,No unfairly treated,Yes changed companies,Partially remote
244,Completed,Male,data worker,kids in home No,2 5 years,25-34yo,Employed full time,120-159k,other materity leave,3 5weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
245,Completed,Female,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,30-59k,other materity leave,no leave,other country,Other leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
246,Completed,Male,pursing work,kids in home No,not in the field,18-24yo,Student,wont-answer-salary,other materity leave,no leave,Asia,Other leave,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,single,No unfairly treated,No changed companies,Other workplace arrangement
247,Completed,Male,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,90-119k,not paid,no leave,US,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,partner handles more,No unfairly treated,No changed companies,Fully in office
248,Completed,Female,pursing work,kids in home No,not in the field,25-34yo,Employed full time,less30k,other materity leave,no leave,other country,Yes wish longer,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,single,No unfairly treated,No changed companies,Fully in office
249,Completed,Male,data worker,kids in home Yes,16 years more,45-54yo,Employed full time,160-plus,not paid,less 2weeks,US,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Other network help,partner handles more,Other unfairly treated,No changed companies,Partially remote
250,Completed,Male,data worker,kids in home Yes,less 2,25-34yo,Employed full time,90-119k,full paid,3 5weeks,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
251,Completed,Male,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,60-89k,full paid,3 5weeks,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,partner handles more,Yes unfairly treated,No changed companies,Partially remote
252,Completed,Male,Manager,kids in home Yes,11 15 years,35-44yo,Employed full time,wont-answer-salary,not paid,9 12weeks,US,Not sure longer leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Other workplace arrangement
253,Completed,Male,pursing work,kids in home No,less 2,35-44yo,Employed full time,less30k,other materity leave,no leave,Asia,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Partially remote
254,Completed,Male,Manager,kids in home Yes,11 15 years,45-54yo,Employed full time,120-159k,full paid,3 5weeks,US,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully remote
255,Completed,Female,data worker,kids in home Yes,11 15 years,35-44yo,Employed full time,90-119k,partially paid,6 8weeks,US,Not sure longer leave,Yes declined promotion,never asked trip conference,Yes voicing needs difficult,Other network help,partner handles more,Yes unfairly treated,Yes changed companies,Partially remote
256,Completed,Female,data worker,kids in home Yes,16 years more,35-44yo,Employed full time,wont-answer-salary,not paid,13 16weeks,Europe,Not sure longer leave,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
257,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed part time,less30k,not paid,6 month plus,other country,No wish longer,No declined promotion,never asked trip conference,Yes voicing needs difficult,Yes network help,single,No unfairly treated,No changed companies,Partially remote
258,Completed,Male,data worker,kids in home Yes,16 years more,35-44yo,Employed full time,90-119k,full paid,3 5weeks,Europe,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
259,Completed,Female,Manager,kids in home Yes,16 years more,45-54yo,Employed part time,wont-answer-salary,partially paid,6 month plus,Europe,No wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,No changed companies,Partially remote
260,Completed,Female,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,90-119k,not paid,6 8weeks,US,Not sure longer leave,No declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,No changed companies,Fully remote
261,Completed,Female,Manager,kids in home Yes,2 5 years,25-34yo,Employed full time,120-159k,full paid,less 2weeks,US,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,Yes unfairly treated,Yes changed companies,Partially remote
262,Completed,Female,data worker,kids in home Yes,less 2,35-44yo,Employed part time,60-89k,full paid,9 12weeks,Europe,Yes wish longer,Yes declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles less,No unfairly treated,Yes changed companies,Fully in office
263,Completed,Male,pursing work,kids in home Yes,less 2,25-34yo,Self employed,less30k,full paid,less 2weeks,Europe,No wish longer,Yes declined promotion,No declined trip or conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Partially remote
264,Completed,Male,pursing work,kids in home Yes,2 5 years,45-54yo,Employed full time,90-119k,not paid,no leave,other country,Other leave,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles more,No unfairly treated,No changed companies,Fully in office
265,Completed,Male,data worker,kids in home No,less 2,25-34yo,Self employed,30-59k,other materity leave,3 5weeks,Europe,Yes wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Fully remote
266,Completed,Female,Manager,kids in home Yes,16 years more,25-34yo,not employed not looking,wont-answer-salary,other materity leave,less 2weeks,other country,Yes wish longer,Yes declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,partner handles less,Yes unfairly treated,Yes changed companies,Other workplace arrangement
267,Completed,Female,Manager,kids in home Yes,6 10 years,35-44yo,Employed full time,120-159k,partially paid,9 12weeks,US,Yes wish longer,Other declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully in office
268,Completed,non_binary,data worker,kids in home Yes,6 10 years,25-34yo,Employed full time,less30k,not paid,no leave,other country,No wish longer,No declined promotion,No declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
269,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,60-89k,not paid,no leave,US,Yes wish longer,Yes declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,partner handles more,No unfairly treated,Yes changed companies,Fully in office
270,Completed,Male,data worker,kids in home Yes,2 5 years,25-34yo,Employed full time,less30k,partially paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
271,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,160-plus,other materity leave,no leave,Asia,Yes wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,No network help,equal partnership,No unfairly treated,Yes changed companies,Partially remote
272,Completed,Female,data worker,kids in home No,less 2,25-34yo,Employed full time,wont-answer-salary,other materity leave,no leave,other country,Other leave,Other declined promotion,Other trip conference,Other voicing needs difficult,Other network help,partner handles less,Other unfairly treated,Other changed companies,Other workplace arrangement
273,Completed,Male,data worker,kids in home No,6 10 years,35-44yo,Employed full time,60-89k,not paid,no leave,US,Not sure longer leave,No declined promotion,never asked trip conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Partially remote
274,Completed,Female,not in field,kids in home Yes,not in the field,35-44yo,Employed full time,30-59k,not paid,6 month plus,other country,No wish longer,Yes declined promotion,never asked trip conference,No voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Yes changed companies,Fully in office
275,Completed,Male,not in field,kids in home No,not in the field,25-34yo,not employed not looking,30-59k,other materity leave,no leave,other country,Other leave,Other declined promotion,Other trip conference,Other voicing needs difficult,Other network help,single,Other unfairly treated,Other changed companies,Other workplace arrangement
276,Completed,Male,not in field,kids in home Yes,less 2,25-34yo,Employed full time,30-59k,full paid,6 8weeks,US,No wish longer,No declined promotion,Yes declined trip or conference,No voicing needs difficult,Yes network help,equal partnership,No unfairly treated,No changed companies,Fully in office
277,Completed,Male,data worker,kids in home Yes,2 5 years,35-44yo,Employed full time,120-159k,not paid,6 8weeks,US,Yes wish longer,No declined promotion,Yes declined trip or conference,Yes voicing needs difficult,No network help,equal partnership,No unfairly treated,No changed companies,Fully in office
278,Completed,Male,data worker,kids in home Yes,less 2,18-24yo,Employed part time,less30k,not paid,less 2weeks,Asia,Yes wish longer,Yes declined promotion,Yes declined trip or conference,Yes voicing needs difficult,Yes network help,equal partnership,Yes unfairly treated,Yes changed companies,Fully remote
279,Completed,Male,pursing work,kids in home No,not in the field,18-24yo,Employed full time,less30k,other materity leave,no leave,Asia,Not sure longer leave,Other declined promotion,Other trip conference,No voicing needs difficult,Other network help,single,No unfairly treated,No changed companies,Fully in office
280,Completed,Female,pursing work,kids in home Yes,2 5 years,25-34yo,not employed not looking,wont-answer-salary,other materity leave,6 month plus,Asia,Not sure longer leave,Yes declined promotion,never asked trip conference,Other voicing needs difficult,No network help,partner handles less,Yes unfairly treated,Other changed companies,Fully remote
